"","from","to","r","p","linecolor","linesize"
"1","vOTU_10025_Unknown","zOTU_118_Unclassified_Lachnospiraceae",-0.850415343293782,0.00182121361440491,"negative",0.850415343293782
"2","vOTU_1003_Nadiaviridae","zOTU_118_Unclassified_Lachnospiraceae",-0.76596086903654,0.00978705781836274,"negative",0.76596086903654
"3","vOTU_1025_Unknown","zOTU_118_Unclassified_Lachnospiraceae",-0.712848155408023,0.020671926520082,"negative",0.712848155408023
"4","vOTU_1030_Unknown","zOTU_118_Unclassified_Lachnospiraceae",-0.712848155408023,0.020671926520082,"negative",0.712848155408023
"5","vOTU_10472_Unknown","zOTU_118_Unclassified_Lachnospiraceae",-0.76596086903654,0.00978705781836274,"negative",0.76596086903654
"6","vOTU_1081_Hannahviridae","zOTU_118_Unclassified_Lachnospiraceae",-0.694088993423602,0.0259636451069436,"negative",0.694088993423602
"7","vOTU_1103_Unknown","zOTU_118_Unclassified_Lachnospiraceae",0.737860371387252,0.014843563826735,"positive",0.737860371387252
"8","vOTU_1106_Unknown","zOTU_118_Unclassified_Lachnospiraceae",0.737860371387252,0.014843563826735,"positive",0.737860371387252
"9","vOTU_11729_Unknown","zOTU_118_Unclassified_Lachnospiraceae",-0.806451612903226,0.00482540428417234,"negative",0.806451612903226
"10","vOTU_11789_Unknown","zOTU_118_Unclassified_Lachnospiraceae",-0.838709677419355,0.0024253789681992,"negative",0.838709677419355
"11","vOTU_11790_Unknown","zOTU_118_Unclassified_Lachnospiraceae",-0.884364578725231,0.000678840382032749,"negative",0.884364578725231
"12","vOTU_1182_Unknown","zOTU_118_Unclassified_Lachnospiraceae",0.756619533371674,0.0113060734344279,"positive",0.756619533371674
"13","vOTU_11977_Almaviridae","zOTU_118_Unclassified_Lachnospiraceae",-0.838709677419355,0.0024253789681992,"negative",0.838709677419355
"14","vOTU_12320_Unknown","zOTU_118_Unclassified_Lachnospiraceae",-0.669076777444373,0.0343690279218448,"negative",0.669076777444373
"15","vOTU_12647_Unknown","zOTU_118_Unclassified_Lachnospiraceae",-0.669076777444373,0.0343690279218448,"negative",0.669076777444373
"16","vOTU_1268_Unknown","zOTU_118_Unclassified_Lachnospiraceae",-0.731607317392445,0.0161765277312125,"negative",0.731607317392445
"17","vOTU_12870_Livviridae","zOTU_118_Unclassified_Lachnospiraceae",0.794137857340517,0.00607802144001636,"positive",0.794137857340517
"18","vOTU_12881_Unknown","zOTU_118_Unclassified_Lachnospiraceae",-0.669076777444373,0.0343690279218448,"negative",0.669076777444373
"19","vOTU_12893_Unknown","zOTU_118_Unclassified_Lachnospiraceae",-0.681582885433987,0.0299657931802122,"negative",0.681582885433987
"20","vOTU_12903_Unknown","zOTU_118_Unclassified_Lachnospiraceae",-0.681582885433987,0.0299657931802122,"negative",0.681582885433987
"21","vOTU_13268_Unknown","zOTU_118_Unclassified_Lachnospiraceae",-0.681582885433987,0.0299657931802122,"negative",0.681582885433987
"22","vOTU_13272_Unknown","zOTU_118_Unclassified_Lachnospiraceae",-0.706595101413216,0.022344120530426,"negative",0.706595101413216
"23","vOTU_1360_Unknown","zOTU_118_Unclassified_Lachnospiraceae",-0.712848155408023,0.020671926520082,"negative",0.712848155408023
"24","vOTU_141907_Unknown","zOTU_118_Unclassified_Lachnospiraceae",-0.870967741935484,0.00103487890627654,"negative",0.870967741935484
"25","vOTU_14909_Unknown","zOTU_118_Unclassified_Lachnospiraceae",-0.867148549754591,0.00115736784435955,"negative",0.867148549754591
"26","vOTU_15717_Morganviridae","zOTU_118_Unclassified_Lachnospiraceae",-0.778621379268549,0.00796586438060815,"negative",0.778621379268549
"27","vOTU_16073_Unknown","zOTU_118_Unclassified_Lachnospiraceae",0.662823723449566,0.0367266623463416,"positive",0.662823723449566
"28","vOTU_16373_Unknown","zOTU_118_Unclassified_Lachnospiraceae",0.662823723449566,0.0367266623463416,"positive",0.662823723449566
"29","vOTU_16507_Jeppeviridae","zOTU_118_Unclassified_Lachnospiraceae",0.896908757146866,0.000435612526323042,"positive",0.896908757146866
"30","vOTU_16805_Morganviridae","zOTU_118_Unclassified_Lachnospiraceae",-0.731607317392445,0.0161765277312125,"negative",0.731607317392445
"31","vOTU_16850_Unknown","zOTU_118_Unclassified_Lachnospiraceae",-0.806451612903226,0.00482540428417234,"negative",0.806451612903226
"32","vOTU_1789_Unknown","zOTU_118_Unclassified_Lachnospiraceae",0.896908757146866,0.000435612526323042,"positive",0.896908757146866
"33","vOTU_1915_Unknown","zOTU_118_Unclassified_Lachnospiraceae",-0.712848155408023,0.020671926520082,"negative",0.712848155408023
"34","vOTU_21705_Unknown","zOTU_118_Unclassified_Lachnospiraceae",-0.712848155408023,0.020671926520082,"negative",0.712848155408023
"35","vOTU_2335_Unknown","zOTU_118_Unclassified_Lachnospiraceae",0.700342047418409,0.0241072301876491,"positive",0.700342047418409
"36","vOTU_23490_Unknown","zOTU_118_Unclassified_Lachnospiraceae",-0.806451612903226,0.00482540428417234,"negative",0.806451612903226
"37","vOTU_23699_Unknown","zOTU_118_Unclassified_Lachnospiraceae",-0.833796682456338,0.00271758087800021,"negative",0.833796682456338
"38","vOTU_25678_Unknown","zOTU_118_Unclassified_Lachnospiraceae",-0.76596086903654,0.00978705781836274,"negative",0.76596086903654
"39","vOTU_2983_Unknown","zOTU_118_Unclassified_Lachnospiraceae",0.725354263397638,0.0175905865079138,"positive",0.725354263397638
"40","vOTU_31352_Unknown","zOTU_118_Unclassified_Lachnospiraceae",-0.731607317392445,0.0161765277312125,"negative",0.731607317392445
"41","vOTU_3456_Unknown","zOTU_118_Unclassified_Lachnospiraceae",0.737860371387252,0.014843563826735,"positive",0.737860371387252
"42","vOTU_3596_Unknown","zOTU_118_Unclassified_Lachnospiraceae",0.737860371387252,0.014843563826735,"positive",0.737860371387252
"43","vOTU_36357_Unknown","zOTU_118_Unclassified_Lachnospiraceae",-0.900500417052845,0.000379701195404454,"negative",0.900500417052845
"44","vOTU_3891_Unknown","zOTU_118_Unclassified_Lachnospiraceae",0.712848155408023,0.020671926520082,"positive",0.712848155408023
"45","vOTU_4701_Unknown","zOTU_118_Unclassified_Lachnospiraceae",0.769125641361288,0.0093068384482951,"positive",0.769125641361288
"46","vOTU_57949_Unknown","zOTU_118_Unclassified_Lachnospiraceae",0.700342047418409,0.0241072301876491,"positive",0.700342047418409
"47","vOTU_5850_Unknown","zOTU_118_Unclassified_Lachnospiraceae",0.725354263397638,0.0175905865079138,"positive",0.725354263397638
"48","vOTU_967_Unknown","zOTU_118_Unclassified_Lachnospiraceae",0.862921451283397,0.00130487014333212,"positive",0.862921451283397
"49","vOTU_9734_Unknown","zOTU_118_Unclassified_Lachnospiraceae",-0.870967741935484,0.00103487890627654,"negative",0.870967741935484
"50","vOTU_10179_Alpaviridae","zOTU_158_Unclassified_Ruminococcaceae",1,1.0635035875251e-62,"positive",1
"51","vOTU_1149_Unknown","zOTU_158_Unclassified_Ruminococcaceae",0.74535599249993,0.0133490634260187,"positive",0.74535599249993
"52","vOTU_14060_Unknown","zOTU_158_Unclassified_Ruminococcaceae",1,1.0635035875251e-62,"positive",1
"53","vOTU_14800_Unknown","zOTU_158_Unclassified_Ruminococcaceae",1,1.0635035875251e-62,"positive",1
"54","vOTU_195_Unknown","zOTU_158_Unclassified_Ruminococcaceae",1,1.0635035875251e-62,"positive",1
"55","vOTU_214_Lyngeviridae","zOTU_158_Unclassified_Ruminococcaceae",0.642529405317179,0.0451259354468072,"positive",0.642529405317179
"56","vOTU_471_Unknown","zOTU_158_Unclassified_Ruminococcaceae",1,1.0635035875251e-62,"positive",1
"57","vOTU_505_Lyngeviridae","zOTU_158_Unclassified_Ruminococcaceae",1,1.0635035875251e-62,"positive",1
"58","vOTU_607_Madsviridae","zOTU_158_Unclassified_Ruminococcaceae",1,1.0635035875251e-62,"positive",1
"59","vOTU_6159_Unknown","zOTU_158_Unclassified_Ruminococcaceae",1,1.0635035875251e-62,"positive",1
"60","vOTU_9282_Alpaviridae","zOTU_158_Unclassified_Ruminococcaceae",0.74535599249993,0.0133490634260187,"positive",0.74535599249993
"61","vOTU_10025_Unknown","zOTU_79_Unclassified._Clostridium_XlVa",-0.757575757575757,0.0111434467996942,"negative",0.757575757575757
"62","vOTU_1003_Nadiaviridae","zOTU_79_Unclassified._Clostridium_XlVa",-0.85282493560439,0.00171189499810632,"negative",0.85282493560439
"63","vOTU_1025_Unknown","zOTU_79_Unclassified._Clostridium_XlVa",-0.781818181818182,0.00754700778106786,"negative",0.781818181818182
"64","vOTU_1030_Unknown","zOTU_79_Unclassified._Clostridium_XlVa",-0.781818181818182,0.00754700778106786,"negative",0.781818181818182
"65","vOTU_10472_Unknown","zOTU_79_Unclassified._Clostridium_XlVa",-0.754658036542014,0.0116448725046174,"negative",0.754658036542014
"66","vOTU_1081_Hannahviridae","zOTU_79_Unclassified._Clostridium_XlVa",-0.890909090909091,0.00054214422483387,"negative",0.890909090909091
"67","vOTU_1103_Unknown","zOTU_79_Unclassified._Clostridium_XlVa",0.806060606060606,0.0048620611019646,"positive",0.806060606060606
"68","vOTU_1106_Unknown","zOTU_79_Unclassified._Clostridium_XlVa",0.806060606060606,0.0048620611019646,"positive",0.806060606060606
"69","vOTU_11729_Unknown","zOTU_79_Unclassified._Clostridium_XlVa",-0.825403127314553,0.00327420748561809,"negative",0.825403127314553
"70","vOTU_11789_Unknown","zOTU_79_Unclassified._Clostridium_XlVa",-0.887933667262626,0.000601513524716058,"negative",0.887933667262626
"71","vOTU_11790_Unknown","zOTU_79_Unclassified._Clostridium_XlVa",-0.686933264358473,0.0282055607712553,"negative",0.686933264358473
"72","vOTU_11977_Almaviridae","zOTU_79_Unclassified._Clostridium_XlVa",-0.712848155408023,0.020671926520082,"negative",0.712848155408023
"73","vOTU_12320_Unknown","zOTU_79_Unclassified._Clostridium_XlVa",-0.83030303030303,0.00294022702327952,"negative",0.83030303030303
"74","vOTU_1263_Unknown","zOTU_79_Unclassified._Clostridium_XlVa",-0.709090909090909,0.0216659233675324,"negative",0.709090909090909
"75","vOTU_12647_Unknown","zOTU_79_Unclassified._Clostridium_XlVa",-0.76969696969697,0.00922195272221601,"negative",0.76969696969697
"76","vOTU_1268_Unknown","zOTU_79_Unclassified._Clostridium_XlVa",-0.818181818181818,0.00381492008255072,"negative",0.818181818181818
"77","vOTU_12881_Unknown","zOTU_79_Unclassified._Clostridium_XlVa",-0.83030303030303,0.00294022702327952,"negative",0.83030303030303
"78","vOTU_12893_Unknown","zOTU_79_Unclassified._Clostridium_XlVa",-0.793939393939394,0.00609992331369691,"negative",0.793939393939394
"79","vOTU_12903_Unknown","zOTU_79_Unclassified._Clostridium_XlVa",-0.793939393939394,0.00609992331369691,"negative",0.793939393939394
"80","vOTU_13268_Unknown","zOTU_79_Unclassified._Clostridium_XlVa",-0.793939393939394,0.00609992331369691,"negative",0.793939393939394
"81","vOTU_13272_Unknown","zOTU_79_Unclassified._Clostridium_XlVa",-0.721212121212121,0.0185731550894602,"negative",0.721212121212121
"82","vOTU_1360_Unknown","zOTU_79_Unclassified._Clostridium_XlVa",-0.890909090909091,0.00054214422483387,"negative",0.890909090909091
"83","vOTU_140822_Unknown","zOTU_79_Unclassified._Clostridium_XlVa",-0.650458931737669,0.0417054510828041,"negative",0.650458931737669
"84","vOTU_141907_Unknown","zOTU_79_Unclassified._Clostridium_XlVa",-0.875427559273011,0.000904109701949638,"negative",0.875427559273011
"85","vOTU_14909_Unknown","zOTU_79_Unclassified._Clostridium_XlVa",-0.782274902440635,0.00748846849649126,"negative",0.782274902440635
"86","vOTU_15717_Morganviridae","zOTU_79_Unclassified._Clostridium_XlVa",-0.926450109901172,0.000117071242177328,"negative",0.926450109901172
"87","vOTU_16507_Jeppeviridae","zOTU_79_Unclassified._Clostridium_XlVa",0.772040040473682,0.0088795368296157,"positive",0.772040040473682
"88","vOTU_16805_Morganviridae","zOTU_79_Unclassified._Clostridium_XlVa",-0.842424242424242,0.00222003122591684,"negative",0.842424242424242
"89","vOTU_16850_Unknown","zOTU_79_Unclassified._Clostridium_XlVa",-0.906692829247047,0.000295911555059412,"negative",0.906692829247047
"90","vOTU_1789_Unknown","zOTU_79_Unclassified._Clostridium_XlVa",0.650458931737669,0.0417054510828041,"positive",0.650458931737669
"91","vOTU_1915_Unknown","zOTU_79_Unclassified._Clostridium_XlVa",-0.781818181818182,0.00754700778106786,"negative",0.781818181818182
"92","vOTU_21705_Unknown","zOTU_79_Unclassified._Clostridium_XlVa",-0.878787878787879,0.000813862111732211,"negative",0.878787878787879
"93","vOTU_2335_Unknown","zOTU_79_Unclassified._Clostridium_XlVa",0.793939393939394,0.00609992331369691,"positive",0.793939393939394
"94","vOTU_23490_Unknown","zOTU_79_Unclassified._Clostridium_XlVa",-0.919198937236662,0.000169005863638679,"negative",0.919198937236662
"95","vOTU_23699_Unknown","zOTU_79_Unclassified._Clostridium_XlVa",-0.79520506611734,0.00596120546678366,"negative",0.79520506611734
"96","vOTU_25678_Unknown","zOTU_79_Unclassified._Clostridium_XlVa",-0.791470623690405,0.00637708418705659,"negative",0.791470623690405
"97","vOTU_2983_Unknown","zOTU_79_Unclassified._Clostridium_XlVa",0.781818181818182,0.00754700778106786,"positive",0.781818181818182
"98","vOTU_31352_Unknown","zOTU_79_Unclassified._Clostridium_XlVa",-0.83030303030303,0.00294022702327952,"negative",0.83030303030303
"99","vOTU_3456_Unknown","zOTU_79_Unclassified._Clostridium_XlVa",0.806060606060606,0.0048620611019646,"positive",0.806060606060606
"100","vOTU_3596_Unknown","zOTU_79_Unclassified._Clostridium_XlVa",0.806060606060606,0.0048620611019646,"positive",0.806060606060606
"101","vOTU_36357_Unknown","zOTU_79_Unclassified._Clostridium_XlVa",-0.885716211854273,0.000648750743011343,"negative",0.885716211854273
"102","vOTU_3891_Unknown","zOTU_79_Unclassified._Clostridium_XlVa",0.818181818181818,0.00381492008255072,"positive",0.818181818181818
"103","vOTU_4701_Unknown","zOTU_79_Unclassified._Clostridium_XlVa",0.818181818181818,0.00381492008255072,"positive",0.818181818181818
"104","vOTU_5850_Unknown","zOTU_79_Unclassified._Clostridium_XlVa",0.781818181818182,0.00754700778106786,"positive",0.781818181818182
"105","vOTU_73800_Unknown","zOTU_79_Unclassified._Clostridium_XlVa",-0.717845449393623,0.0193992890736001,"negative",0.717845449393623
"106","vOTU_8820_Unknown","zOTU_79_Unclassified._Clostridium_XlVa",0.700649049745371,0.024018509248755,"positive",0.700649049745371
"107","vOTU_967_Unknown","zOTU_79_Unclassified._Clostridium_XlVa",0.672727272727273,0.0330412225454377,"positive",0.672727272727273
"108","vOTU_9734_Unknown","zOTU_79_Unclassified._Clostridium_XlVa",-0.887933667262626,0.000601513524716058,"negative",0.887933667262626
"109","vOTU_10025_Unknown","zOTU_137_Unclassified._Bacteroides",0.769344738763931,0.0092742209381247,"positive",0.769344738763931
"110","vOTU_1003_Nadiaviridae","zOTU_137_Unclassified._Bacteroides",0.857381989916462,0.00151825566874341,"positive",0.857381989916462
"111","vOTU_1025_Unknown","zOTU_137_Unclassified._Bacteroides",0.885716211854273,0.000648750743011343,"positive",0.885716211854273
"112","vOTU_1030_Unknown","zOTU_137_Unclassified._Bacteroides",0.885716211854273,0.000648750743011343,"positive",0.885716211854273
"113","vOTU_10472_Unknown","zOTU_137_Unclassified._Bacteroides",0.831202387170921,0.00288170267378781,"positive",0.831202387170921
"114","vOTU_1081_Hannahviridae","zOTU_137_Unclassified._Bacteroides",0.782274902440635,0.00748846849649126,"positive",0.782274902440635
"115","vOTU_1103_Unknown","zOTU_137_Unclassified._Bacteroides",-0.872786048177568,0.000980007412081175,"negative",0.872786048177568
"116","vOTU_1106_Unknown","zOTU_137_Unclassified._Bacteroides",-0.872786048177568,0.000980007412081175,"negative",0.872786048177568
"117","vOTU_11729_Unknown","zOTU_137_Unclassified._Bacteroides",0.807115188617735,0.00476364659929518,"positive",0.807115188617735
"118","vOTU_11789_Unknown","zOTU_137_Unclassified._Bacteroides",0.807115188617735,0.00476364659929518,"positive",0.807115188617735
"119","vOTU_11790_Unknown","zOTU_137_Unclassified._Bacteroides",0.758717212301277,0.0109514780220265,"positive",0.758717212301277
"120","vOTU_1182_Unknown","zOTU_137_Unclassified._Bacteroides",-0.782274902440635,0.00748846849649126,"negative",0.782274902440635
"121","vOTU_11977_Almaviridae","zOTU_137_Unclassified._Bacteroides",0.900500417052845,0.000379701195404454,"positive",0.900500417052845
"122","vOTU_12320_Unknown","zOTU_137_Unclassified._Bacteroides",0.717624084057112,0.01945448387796,"positive",0.717624084057112
"123","vOTU_12647_Unknown","zOTU_137_Unclassified._Bacteroides",0.717624084057112,0.01945448387796,"positive",0.717624084057112
"124","vOTU_1268_Unknown","zOTU_137_Unclassified._Bacteroides",0.82106539347075,0.00359188000143035,"positive",0.82106539347075
"125","vOTU_12870_Livviridae","zOTU_137_Unclassified._Bacteroides",-0.756414575087226,0.0113411467110004,"negative",0.756414575087226
"126","vOTU_12881_Unknown","zOTU_137_Unclassified._Bacteroides",0.717624084057112,0.01945448387796,"positive",0.717624084057112
"127","vOTU_12893_Unknown","zOTU_137_Unclassified._Bacteroides",0.717624084057112,0.01945448387796,"positive",0.717624084057112
"128","vOTU_12903_Unknown","zOTU_137_Unclassified._Bacteroides",0.717624084057112,0.01945448387796,"positive",0.717624084057112
"129","vOTU_13268_Unknown","zOTU_137_Unclassified._Bacteroides",0.717624084057112,0.01945448387796,"positive",0.717624084057112
"130","vOTU_13272_Unknown","zOTU_137_Unclassified._Bacteroides",0.717624084057112,0.01945448387796,"positive",0.717624084057112
"131","vOTU_1360_Unknown","zOTU_137_Unclassified._Bacteroides",0.808135229794045,0.00466981750430586,"positive",0.808135229794045
"132","vOTU_141907_Unknown","zOTU_137_Unclassified._Bacteroides",0.847137429375639,0.00197792351387704,"positive",0.847137429375639
"133","vOTU_14909_Unknown","zOTU_137_Unclassified._Bacteroides",0.806896551724138,0.00478393195348865,"positive",0.806896551724138
"134","vOTU_15717_Morganviridae","zOTU_137_Unclassified._Bacteroides",0.831202387170921,0.00288170267378781,"positive",0.831202387170921
"135","vOTU_16507_Jeppeviridae","zOTU_137_Unclassified._Bacteroides",-0.81708007478599,0.00390270135755989,"negative",0.81708007478599
"136","vOTU_16805_Morganviridae","zOTU_137_Unclassified._Bacteroides",0.82106539347075,0.00359188000143035,"positive",0.82106539347075
"137","vOTU_16850_Unknown","zOTU_137_Unclassified._Bacteroides",0.847137429375639,0.00197792351387704,"positive",0.847137429375639
"138","vOTU_1789_Unknown","zOTU_137_Unclassified._Bacteroides",-0.784656262294483,0.00718844405333819,"negative",0.784656262294483
"139","vOTU_1915_Unknown","zOTU_137_Unclassified._Bacteroides",0.885716211854273,0.000648750743011343,"positive",0.885716211854273
"140","vOTU_21705_Unknown","zOTU_137_Unclassified._Bacteroides",0.911576539207683,0.000240106759033263,"positive",0.911576539207683
"141","vOTU_2335_Unknown","zOTU_137_Unclassified._Bacteroides",-0.872786048177568,0.000980007412081175,"negative",0.872786048177568
"142","vOTU_23490_Unknown","zOTU_137_Unclassified._Bacteroides",0.860478176294941,0.00139610151232143,"positive",0.860478176294941
"143","vOTU_23699_Unknown","zOTU_137_Unclassified._Bacteroides",0.76551724137931,0.00985574032821104,"positive",0.76551724137931
"144","vOTU_25678_Unknown","zOTU_137_Unclassified._Bacteroides",0.818112585798151,0.00382039407817524,"positive",0.818112585798151
"145","vOTU_2983_Unknown","zOTU_137_Unclassified._Bacteroides",-0.872786048177568,0.000980007412081175,"negative",0.872786048177568
"146","vOTU_31352_Unknown","zOTU_137_Unclassified._Bacteroides",0.717624084057112,0.01945448387796,"positive",0.717624084057112
"147","vOTU_3456_Unknown","zOTU_137_Unclassified._Bacteroides",-0.872786048177568,0.000980007412081175,"negative",0.872786048177568
"148","vOTU_3596_Unknown","zOTU_137_Unclassified._Bacteroides",-0.872786048177568,0.000980007412081175,"negative",0.872786048177568
"149","vOTU_36357_Unknown","zOTU_137_Unclassified._Bacteroides",0.903448275862069,0.000337901684198332,"positive",0.903448275862069
"150","vOTU_3891_Unknown","zOTU_137_Unclassified._Bacteroides",-0.872786048177568,0.000980007412081175,"negative",0.872786048177568
"151","vOTU_4701_Unknown","zOTU_137_Unclassified._Bacteroides",-0.885716211854273,0.000648750743011343,"negative",0.885716211854273
"152","vOTU_57949_Unknown","zOTU_137_Unclassified._Bacteroides",-0.691763756703702,0.0266782402133718,"negative",0.691763756703702
"153","vOTU_5850_Unknown","zOTU_137_Unclassified._Bacteroides",-0.872786048177568,0.000980007412081175,"negative",0.872786048177568
"154","vOTU_967_Unknown","zOTU_137_Unclassified._Bacteroides",-0.730554247733817,0.0164089210362846,"negative",0.730554247733817
"155","vOTU_9734_Unknown","zOTU_137_Unclassified._Bacteroides",0.873818923214242,0.000949798878818123,"positive",0.873818923214242
"156","vOTU_1068_Unknown","zOTU_64_Intestinimonas_butyriciproducens",0.797863424356258,0.00567718181079331,"positive",0.797863424356258
"157","vOTU_1093_Lauraviridae","zOTU_64_Intestinimonas_butyriciproducens",0.762421591379652,0.0103444933120118,"positive",0.762421591379652
"158","vOTU_11790_Unknown","zOTU_64_Intestinimonas_butyriciproducens",-0.785333504543575,0.0071047007436902,"negative",0.785333504543575
"159","vOTU_1182_Unknown","zOTU_64_Intestinimonas_butyriciproducens",0.797863424356258,0.00567718181079331,"positive",0.797863424356258
"160","vOTU_12196_Noraviridae","zOTU_64_Intestinimonas_butyriciproducens",0.642529405317179,0.0451259354468072,"positive",0.642529405317179
"161","vOTU_12870_Livviridae","zOTU_64_Intestinimonas_butyriciproducens",0.812776759390954,0.00425947298652434,"positive",0.812776759390954
"162","vOTU_1309_Lauraviridae","zOTU_64_Intestinimonas_butyriciproducens",0.80771396314478,0.00470840634260058,"positive",0.80771396314478
"163","vOTU_16073_Unknown","zOTU_64_Intestinimonas_butyriciproducens",0.812776759390954,0.00425947298652434,"positive",0.812776759390954
"164","vOTU_16373_Unknown","zOTU_64_Intestinimonas_butyriciproducens",0.812776759390954,0.00425947298652434,"positive",0.812776759390954
"165","vOTU_16507_Jeppeviridae","zOTU_64_Intestinimonas_butyriciproducens",0.75541603770382,0.0115131139887783,"positive",0.75541603770382
"166","vOTU_1789_Unknown","zOTU_64_Intestinimonas_butyriciproducens",0.75541603770382,0.0115131139887783,"positive",0.75541603770382
"167","vOTU_18957_Rasmusviridae","zOTU_64_Intestinimonas_butyriciproducens",0.642529405317179,0.0451259354468072,"positive",0.642529405317179
"168","vOTU_57949_Unknown","zOTU_64_Intestinimonas_butyriciproducens",0.797863424356258,0.00567718181079331,"positive",0.797863424356258
"169","vOTU_967_Unknown","zOTU_64_Intestinimonas_butyriciproducens",0.753123419252168,0.0119148590988134,"positive",0.753123419252168
"170","vOTU_1068_Unknown","zOTU_17_Akkermansia_muciniphila",0.703272404258886,0.0232695151675187,"positive",0.703272404258886
"171","vOTU_1093_Lauraviridae","zOTU_17_Akkermansia_muciniphila",0.808725705712849,0.00461610990627418,"positive",0.808725705712849
"172","vOTU_1182_Unknown","zOTU_17_Akkermansia_muciniphila",0.887625364598595,0.000607925564915839,"positive",0.887625364598595
"173","vOTU_12870_Livviridae","zOTU_17_Akkermansia_muciniphila",0.826174377818692,0.00321991681397683,"positive",0.826174377818692
"174","vOTU_1309_Lauraviridae","zOTU_17_Akkermansia_muciniphila",0.808725705712849,0.00461610990627418,"positive",0.808725705712849
"175","vOTU_16073_Unknown","zOTU_17_Akkermansia_muciniphila",0.682788741998919,0.0295627178838956,"positive",0.682788741998919
"176","vOTU_16373_Unknown","zOTU_17_Akkermansia_muciniphila",0.634993530058995,0.048545962175274,"positive",0.634993530058995
"177","vOTU_57949_Unknown","zOTU_17_Akkermansia_muciniphila",0.887625364598595,0.000607925564915839,"positive",0.887625364598595
"178","vOTU_10025_Unknown","zOTU_1_Enterococcus_faecalis",-0.636363636363636,0.0479117261299755,"negative",0.636363636363636
"179","vOTU_1003_Nadiaviridae","zOTU_1_Enterococcus_faecalis",-0.816012348455999,0.00398914439528716,"negative",0.816012348455999
"180","vOTU_1025_Unknown","zOTU_1_Enterococcus_faecalis",-0.903030303030303,0.000343612197763281,"negative",0.903030303030303
