	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Kingdom	Phylum	Class	Order	Family	Genus	Species
zOTU_1176	1.625219815	4.240669069	2.299397515	1.844252262	0.065146385	0.195439155	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Acetanaerobacterium	Acetanaerobacterium_elongatum
zOTU_28	4.935375355	-4.622261012	2.620182174	-1.764099099	0.077715296	0.224178739	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Blautia_wexlerae
zOTU_38	295.0064856	-4.936978168	0.879492852	-5.613437512	1.98346E-08	2.97519E-07	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiracea_incertae_sedis	Eubacterium_eligens
zOTU_3541	0.178289544	1.16064436	4.080472857	0.284438691	0.776074211	NA	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	Parabacteroides_johnsonii
zOTU_73	0.653963836	0.257581618	2.6215061	0.098257112	0.921728133	0.946980959	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Pseudobutyrivibrio	Pseudobutyrivibrio_ruminis
zOTU_920	0	NA	NA	NA	NA	NA	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Haemophilus_parainfluenzae
zOTU_195	42.63923529	2.00343597	0.872614742	2.295899751	0.021681614	0.085585319	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides_dorei
zOTU_211	0.175895853	-0.762908992	4.080472857	-0.186965829	0.851687425	NA	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Turicibacter	Turicibacter_sanguinis
zOTU_6805	0	NA	NA	NA	NA	NA	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium_pseudolongum_subsp._pseudolongum
zOTU_3414	0.12784098	-0.762908992	4.080472857	-0.186965829	0.851687425	NA	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Unclassified_Bifidobacteriaceae	Unclassified_Bifidobacteriaceae
zOTU_3871	6.16338147	-2.539011981	1.151075072	-2.205774448	0.027399796	0.093408396	Bacteria	Actinobacteria	Actinobacteria	Unclassified_Actinobacteria	Unclassified_Actinobacteria	Unclassified_Actinobacteria	Unclassified_Actinobacteria
zOTU_79	0.167422417	-0.762908992	4.080472857	-0.186965829	0.851687425	NA	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Clostridium_XlVa	Unclassified _Clostridium_XlVa
