	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Kingdom	Phylum	Class	Order	Family	Genus	Species
zOTU_1176	0.94483673	4.064288556	5.425370981	0.749126386	0.453781033	NA	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Acetanaerobacterium	Acetanaerobacterium_elongatum
zOTU_28	1258.584903	8.936647449	2.526267095	3.537491134	0.000403948	0.001239702	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Blautia_wexlerae
zOTU_38	695.2795123	-0.463083169	1.485257458	-0.311786463	0.755202813	0.763784663	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiracea_incertae_sedis	Eubacterium_eligens
zOTU_3541	3.779346919	6.064294113	4.432624647	1.368104587	0.171279341	0.224174432	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	Parabacteroides_johnsonii
zOTU_73	493.0504497	11.20975343	2.098743201	5.34117439	9.23464E-08	1.17412E-06	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Pseudobutyrivibrio	Pseudobutyrivibrio_ruminis
zOTU_920	1.619720108	4.84187379	5.413942036	0.89433425	0.37114308	NA	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Haemophilus_parainfluenzae
zOTU_195	45.82482632	1.750483554	1.975556291	0.88607121	0.375579156	0.428545447	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides_dorei
zOTU_211	66.82680774	9.240661311	2.416381142	3.82417374	0.000131211	0.000467112	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Turicibacter	Turicibacter_sanguinis
zOTU_6805	0	NA	NA	NA	NA	NA	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium_pseudolongum_subsp._pseudolongum
zOTU_3414	3.504900215	4.818759172	3.85383705	1.250379585	0.211160919	0.269157598	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Unclassified_Bifidobacteriaceae	Unclassified_Bifidobacteriaceae
