SampleID	NXT_run	Sample_origin	Sample_origin_drate	Groups	Batch	Name	Dilution_rate	Cultivation_phase	Comparable_groups
NXT075_Mao242	NXT075	Human	Fast	Batch_Fast	M11	M11_O2.2	Fast	Batch	batch_fast_human
NXT075_Mao243	NXT075	Human	Fast	Batch_Fast	M15	M15_O1.2	Fast	Batch	batch_fast_human
NXT075_Mao244	NXT075	Human	Fast	Batch_Fast	M16	M16_O1.3	Fast	Batch	batch_fast_human
NXT075_Mao246	NXT075	Human	Fast	Batch_Fast	M15	M15_O1.3	Fast	Batch	batch_fast_human
NXT075_Mao249	NXT075	Human	Fast	Batch_Fast	M16	M16_O1.2	Fast	Batch	batch_fast_human
NXT075_Mao251	NXT075	Human	Fast	Batch_Fast	M11	M11_O2.1	Fast	Batch	batch_fast_human
NXT075_Mao258	NXT075	Human	Fast	Batch_Fast	M16	M16_GC1.1	Fast	Batch	batch_fast_human
NXT075_Mao245	NXT075	Human	Slow	Batch_Slow	M10	M10_O2.1	Slow	Batch	batch_slow_human
NXT075_Mao247	NXT075	Human	Slow	Batch_Slow	M13	M13_O1.1	Slow	Batch	batch_slow_human
NXT075_Mao248	NXT075	Human	Slow	Batch_Slow	M13	M13_O1.2	Slow	Batch	batch_slow_human
NXT075_Mao250	NXT075	Human	Slow	Batch_Slow	M14	M14_O1.2	Slow	Batch	batch_slow_human
NXT075_Mao252	NXT075	Human	Slow	Batch_Slow	M14	M14_O1.3	Slow	Batch	batch_slow_human
NXT061_SAB384	NXT061	Human	Fast	Changestat_Fast	M16	m16_9.1	Fast	Changestat	changestat_fast_human
NXT061_SAB385	NXT061	Human	Fast	Changestat_Fast	M16	m16_10.1	Fast	Changestat	changestat_fast_human
NXT061_SAB386	NXT061	Human	Fast	Changestat_Fast	M16	m16_11.1	Fast	Changestat	changestat_fast_human
NXT061_SAB380	NXT061	Human	Steady_state	Changestat_Fast	M15	m15_4.1	Fast	Steady_state	ss_chemostat_fast_human
NXT061_SAB375	NXT061	Human	Slow	Changestat_Slow	M13	m13_11.1	Slow	Changestat	changestat_slow_human
