OTU_ID	NXT061_SAB313	NXT061_SAB314	NXT061_SAB315	NXT061_SAB316	NXT061_SAB317	NXT061_SAB318	NXT061_SAB319	NXT061_SAB320	NXT061_SAB323	NXT061_SAB324	NXT061_SAB325	NXT061_SAB326	NXT061_SAB327	NXT061_SAB328	NXT061_SAB329	NXT061_SAB330	NXT061_SAB333	NXT061_SAB334	NXT061_SAB335	NXT061_SAB336	NXT061_SAB337	NXT061_SAB338	NXT061_SAB339	NXT061_SAB340	NXT061_SAB343	NXT061_SAB344	NXT061_SAB345	NXT061_SAB346	NXT061_SAB347	NXT061_SAB348	NXT061_SAB349	NXT061_SAB350	NXT061_SAB353	NXT061_SAB354	NXT061_SAB355	NXT061_SAB356	NXT061_SAB357	NXT061_SAB358	NXT061_SAB359	NXT061_SAB360	NXT061_SAB363	NXT061_SAB364	NXT061_SAB365	NXT061_SAB366	NXT061_SAB367	NXT061_SAB368	NXT061_SAB369	NXT061_SAB370	NXT061_SAB373	NXT061_SAB374	NXT061_SAB375	NXT061_SAB376	NXT061_SAB377	NXT061_SAB378	NXT061_SAB379	NXT061_SAB380	NXT061_SAB383	NXT061_SAB384	NXT061_SAB385	NXT061_SAB386	NXT061_SAB387	NXT061_SAB388	NXT061_SAB389	NXT061_SAB390	NXT075_Mao143	NXT075_Mao144	NXT075_Mao192	NXT075_Mao239	NXT075_Mao240	NXT075_Mao241	NXT075_Mao242	NXT075_Mao243	NXT075_Mao244	NXT075_Mao245	NXT075_Mao246	NXT075_Mao247	NXT075_Mao248	NXT075_Mao249	NXT075_Mao250	NXT075_Mao251	NXT075_Mao252	NXT075_Mao253	NXT075_Mao254	NXT075_Mao255	NXT075_Mao256	NXT075_Mao257	NXT075_Mao258	NXT075_Mao47	NXT075_Mao48	NXT075_Mao95	NXT075_Mao96	taxonomy
zOTU_2813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	6	12	4	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes"
zOTU_692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	"d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides"
zOTU_4535	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae"
zOTU_789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	15	17	17	36	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillibacter;s__Oscillibacter_valericigenes"
zOTU_316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	34	106	69	107	116	88	52	32	78	56	71	0	0	439	964	162	82	0	0	0	0	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae_1;g__Clostridium_sensu_stricto"
zOTU_1228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	5	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales"
zOTU_834	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	82	13	39	22	54	32	17	50	65	59	0	0	8	65	27	12	0	0	0	0	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae"
zOTU_2464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	6	10	2	9	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae"
zOTU_4334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium_prausnitzii"
zOTU_5654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	1	7	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria
