Column1,Kingdom,Phylum,Class,Order,Family
vOTU_22398,Orthornavirae,Kitrinoviricota,c.0024,o.0035,f.0144
vOTU_34338,Orthornavirae,Kitrinoviricota,c.0024,o.0035,f.0144
vOTU_112331,Orthornavirae,Kitrinoviricota,c.0031,o.0042,f.0153
vOTU_122155,Orthornavirae,Kitrinoviricota,c.0032,o.0043,f.0167
vOTU_56638,Orthornavirae,Kitrinoviricota,c.0032,o.0043,f.0167
vOTU_69359,Orthornavirae,Kitrinoviricota,c.0032,o.0043,f.0167
vOTU_104488,Orthornavirae,Kitrinoviricota,Magsaviricetes,Nodamuvirales,Nodaviridae
vOTU_109020,Orthornavirae,Kitrinoviricota,Magsaviricetes,Nodamuvirales,Nodaviridae
vOTU_92121,Orthornavirae,Kitrinoviricota,Magsaviricetes,Nodamuvirales,Nodaviridae
vOTU_115059,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,f.0035
vOTU_76533,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,f.0035
vOTU_92245,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,f.0035
vOTU_10259,Orthornavirae,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae
vOTU_10306,Orthornavirae,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae
vOTU_10525,Orthornavirae,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae
vOTU_10576,Orthornavirae,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae
vOTU_11141,Orthornavirae,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae
vOTU_11339,Orthornavirae,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae
vOTU_115955,Orthornavirae,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae
vOTU_11813,Orthornavirae,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae
vOTU_11990,Orthornavirae,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae
vOTU_12339,Orthornavirae,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae
vOTU_125083,Orthornavirae,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae
vOTU_15993,Orthornavirae,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae
vOTU_16078,Orthornavirae,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae
vOTU_16087,Orthornavirae,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae
vOTU_21543,Orthornavirae,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae
vOTU_27303,Orthornavirae,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae
vOTU_40074,Orthornavirae,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae
vOTU_45571,Orthornavirae,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae
vOTU_48437,Orthornavirae,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae
vOTU_85446,Orthornavirae,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae
vOTU_93292,Orthornavirae,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae
vOTU_19280,Orthornavirae,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae
vOTU_49245,Orthornavirae,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae
vOTU_112357,Orthornavirae,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae
vOTU_39696,Orthornavirae,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae
vOTU_43426,Orthornavirae,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae
vOTU_53124,Orthornavirae,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae
vOTU_45336,Orthornavirae,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae
vOTU_47146,Orthornavirae,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae
vOTU_60215,Orthornavirae,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae
vOTU_60543,Orthornavirae,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae
vOTU_69603,Orthornavirae,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae
vOTU_71583,Orthornavirae,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae
vOTU_126158,Orthornavirae,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae
vOTU_78368,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Unclassified_Megaviricetes,Unclassified_Megaviricetes
vOTU_96846,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Unclassified_Megaviricetes,Unclassified_Megaviricetes
