"","Domain","Realm","Kingdom","Phylum","Class","Order","Family"
"vOTU_1","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_2","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_3","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_5","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_7","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_8","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_9","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_10","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_13","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_15","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_17","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_25","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_29","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_31","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_37","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_38","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_39","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_40","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_41","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_42","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_43","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_44","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_47","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_49","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_51","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_53","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_56","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_57","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_58","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_61","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_64","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_66","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_69","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_70","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_77","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_78","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_79","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_80","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_81","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_82","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_85","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_86","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_87","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_90","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_91","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_92","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_94","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_99","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_103","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_108","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_109","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_110","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_112","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_117","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_119","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_121","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_123","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_124","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_126","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_129","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_131","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_132","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_134","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_135","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_139","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_141","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_152","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_159","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_160","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_161","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_163","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_168","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_169","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_170","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_174","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_175","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_176","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_179","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_181","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_182","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_186","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_187","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_188","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_189","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_192","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_193","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_195","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_204","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_209","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_211","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_217","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_223","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_227","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_228","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_229","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_237","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_238","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_240","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_242","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_245","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_253","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_254","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_264","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_268","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_276","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_278","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_280","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_283","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
