,Domain,Phylum,Class,Order,Family,Genus
vOTU_39,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_42,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_64,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_69,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_77,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_78,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_79,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_80,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_81,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_109,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_117,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_119,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_126,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_133,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_152,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_169,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_170,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_179,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_181,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_192,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_193,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_195,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_202,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_209,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_212,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_214,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_217,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_242,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_245,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_249,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_262,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_280,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_321,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_326,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_356,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_361,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_362,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_365,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_378,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_407,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_410,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_420,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_471,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_480,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_494,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_505,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
