SampleID	Mao_name	Sample_or_Control	Name 	Sample_origin	Groups	Dilution_rate	Cultivation_phase
CMS38	M11O2.1	TRUE_sample	M11_batch_1	Human	Batch_Fast	Fast	Batch
CMS29	M11O2.2	TRUE_sample	M11_batch_2	Human	Batch_Fast	Fast	Batch
CMS30	M15O1.2	TRUE_sample	M15_batch_1	Human	Batch_Fast	Fast	Batch
CMS33	M15O1.3	TRUE_sample	M15_batch_2	Human	Batch_Fast	Fast	Batch
CMS36	M16O1.2	TRUE_sample	M16_batch_1	Human	Batch_Fast	Fast	Batch
CMS31	M16O1.3	TRUE_sample	M16_batch_2	Human	Batch_Fast	Fast	Batch
CMS45	M16GC1.1	TRUE_sample	M16_batch_3	Human	Batch_Fast	Fast	Batch
CMS32	M10O2.1	TRUE_sample	M10_batch	Human	Batch_Slow	Slow	Batch
CMS34	M13O1.1	TRUE_sample	M13_batch_1	Human	Batch_Slow	Slow	Batch
CMS35	M13O1.2	TRUE_sample	M13_batch_2	Human	Batch_Slow	Slow	Batch
CMS15	M13H3.3	TRUE_sample	m13_h3.3	Human	Batch_Slow	Slow	Batch
CMS37	M14O1.2	TRUE_sample	M14_batch_1	Human	Batch_Slow	Slow	Batch
CMS39	M14O1.3	TRUE_sample	M14_batch_2	Human	Batch_Slow	Slow	Batch
CMS1	M16B11.2	TRUE_sample	m16_b11.2	Human	Changestat_Fast	Fast	Changestat
CMS12	M16BGC10.2	TRUE_sample	m16_gc10.2	Human	Changestat_Fast	Fast	Changestat
CMS10	M16H10.3	TRUE_sample	m16_h10.3	Human	Changestat_Fast	Fast	Changestat
CMS19	M16H11.3	TRUE_sample	m16_h11.3	Human	Changestat_Fast	Fast	Changestat
CMS22	M16H9.3	TRUE_sample	m16_h9.3	Human	Changestat_Fast	Fast	Changestat
CMS8	M16B11.3	TRUE_sample	M16B11.3	Human	Changestat_Fast	Fast	Changestat
CMS43	M16B2.1GC2.1	TRUE_sample	M16B2.1GC2.1	Human	Changestat_Fast	Fast	Changestat
CMS14	M13B11.2	TRUE_sample	m13_b11.2	Human	Changestat_Slow	Slow	Changestat
CMS9	M13B12.1	TRUE_sample	m13_b12.1	Human	Changestat_Slow	Slow	Changestat
CMS2	M13B13.1	TRUE_sample	m13_b13.1	Human	Changestat_Slow	Slow	Changestat
