vOTU	CMS1	CMS10	CMS11	CMS12	CMS13	CMS14	CMS15	CMS16	CMS17	CMS18	CMS19	CMS2	CMS20	CMS21	CMS22	CMS23	CMS24	CMS25	CMS26	CMS27	CMS28	CMS29	CMS3	CMS30	CMS31	CMS32	CMS33	CMS34	CMS35	CMS36	CMS37	CMS38	CMS39	CMS4	CMS40	CMS41	CMS44	CMS45	CMS47	CMS48	CMS5	CMS6	CMS7	CMS8	CMS9	PRE129	PRE174	PRE177	PRE180	PRE181	PRE182	PRE183	PRE185	PRE186	PRE187	PRE189	PRE190	PRE191	PRE192	PRE193	PRE194	PRE195	PRE196	PRE197	PRE198	PRE199	PRE200	PRE203	PRE204	PRE205	PRE207	PRE208	PRE210	PRE211	PRE212	PRE214	PRE237	PRE238	PRE239	PRE327	PRE328	PRE329	PRE330	PRE331
vOTU_1	21.39614807	1896.418234	668.3897084	29.77463444	786.9500416	7.351842496	1640.943593	1111.730043	2783.284289	26.34279697	1237.889459	6.619515442	10.83719161	975.4907104	633.9644199	20.11060684	2.037348352	727.6436465	20.72071715	2.159404018	0.338675125	0.105748063	795.6712144	0.044390592	0.251341852	0.100351447	0.269043789	2.737567901	0.54519252	0.365566017	0.081522484	0.015127049	0.054359029	1215.192908	0.03230849	0.524725012	24.81373967	0.91942087	1.690012983	0.97815687	12.04932641	2.295066627	39.37491203	23.15363799	5.870941635	0	0	0	0.014596735	0.03145337	0.037013751	0.016233545	0.022289978	0	0.057096265	0	0.012236918	0	0	0	0	0	0.150319864	0	0.02952001	0	0	0.019512239	0.019119957	0.049131892	0	0	0.017403951	0	0.108132359	0.049739339	0	2.045955266	0	0	0.013758118	0	0	0
vOTU_2	27.60520295	125.8902357	16.95816828	45.14783665	3.597216444	5.106682174	9.598979435	81.55770526	154.8651906	9.112406538	38.90918622	7.121106266	12.98823129	173.0056003	43.67939867	22.47742325	121.2923828	2.598861534	26.38000811	14.76296236	0.223333551	0.018834342	1656.121184	0.063249771	0.086543079	0.070867757	0.098897628	0.704245029	0.28096116	0.054043394	0.038233498	0.036004508	0.545458723	4.604480312	0.043942149	0.015859295	110.7234242	0.156310805	0.328364826	0.665186066	55.11796647	237.2556057	58.20920836	30.11078347	7.147821288	0	0	0	0	0.021389558	0.016780561	0.574052143	0.060632331	0.088849331	0.310622079	0.058696124	0.049929584	0.083826057	0	0	0	0.630061835	0.204447122	0	0	0.083442051	0.158457965	0.513072177	0	0.033411665	0	1.108467359	0.023670775	0.529716185	0	0.022549836	0	0.022997223	0	0	0.074848596	0	0	0.009707877
vOTU_3	15.66455972	1528.195731	478.3314118	20.27736644	618.2651769	4.866560269	1249.22181	824.7372676	2153.586408	27.62986028	985.1377143	5.57118444	5.515009945	751.8472628	462.8530684	11.78485872	1.586617641	561.2126228	14.79859116	2.740638084	0.20580389	0.068627497	622.2868681	0.032923699	0.118928501	0.105202321	0.173658004	2.093353814	0.364871205	0.26241027	0.10946024	0.017670647	0.071495673	1000.511293	0.069192073	0.472203913	23.03008815	0.716013719	0.564053427	0	9.81233356	3.633769123	24.64236788	15.24813968	4.557341096	0.163501454	0	0	0	0	0.096083504	0.050568532	0.034717354	0	0.177858522	0	0.038118785	0	0	0	0.040201882	0.103075983	0.1638896	0.016952591	0	0	0	0.172215305	0.029779945	0	0.043000482	0.165572681	0	0.142733746	0	0	0	1.817175346	0	0	0.085714838	0	0	0
vOTU_5	1.533864858	5.781388751	5.301858554	2.602402678	5.1433887	0.752946864	4.633444532	1.340388373	3.248996822	0.606470179	3.184385809	0.927522873	3.076957829	1.732061593	1.328938713	1.163131703	0.147535412	3.212501672	2.131203505	3.100784424	0.006131324	0.312875384	1.700975673	0.158278951	0.902217783	2.788568023	7.796325651	3.57585701	0.57339023	0.306391711	1.15097579	3.250418808	5.06137584	9.979956326	0.006433989	0.018576886	0.270765313	0.091547826	0.57694833	0	0.792181342	0.423368009	1.597126878	0.837179895	0.377146206	0	0.095161608	0.447153108	0	0.075164383	0.098280083	0.090518025	0.248577228	0	0.022740571	0.068754077	0.11697067	0.196380366	0.122014796	0	0.082241886	0	0.119740216	0.104040877	0.681927427	0.19548075	0	0.062171415	0.152303745	0.078273932	0	0.098792085	0.166361475	0.291993605	0.172269875	0.105655573	0.877458178	2.101159528	0.282198827	0.13543992	0.043837189	0	0.021920579	0.011371383
vOTU_7	3.246534605	11.94442726	9.809233026	3.797079722	6.695192972	0.641428837	7.2402757	2.535830313	11.26886713	1.062815929	6.103688334	1.767396986	3.182926291	1.897107552	8.369536716	1.273965052	0.161593874	8.071178161	3.205688716	5.898537519	0.004477047	1.27190297	3.649853394	0.398361796	2.126271782	7.277083261	21.04566461	9.714886326	1.293217133	0.715549971	2.899006355	8.644657477	14.51892958	14.88934822	0.091611988	0.040694108	0	0.100271303	0.842566676	0	1.696599453	1.00570916	2.28899739	1.841362326	1.156635174	2.014928338	0.208458875	0.244880881	0.050941063	0.109768936	0.258348162	0.198286747	0.505632841	0.056995664	0.024907492	0.150611133	0.042705552	0.672166258	0.089094287	0	0.180157223	0.115478939	0.183610154	0.208917134	1.184749716	0.454979211	0	0.090794201	0.200179891	0.171465111	0	0.092747879	0.516272572	0.11993149	0.188685253	0.462893435	2.327925252	3.924141746	1.081812188	0.049448606	0.120035947	0	0.096037452	0.049819791
vOTU_8	19.76965812	1789.96954	634.7589562	23.94051901	726.9799854	6.078587326	1609.589753	1005.49402	2659.656639	26.84553857	1134.823982	8.067102739	15.09536486	923.0421171	620.5673123	12.76519483	4.122909152	697.6037324	19.5005797	8.684394458	0.351820578	0.114336385	781.5390132	0.015057497	0.317283065	0.103100957	0.194237755	2.565856972	0.59922256	0.263234055	0.08009779	0.006734655	0.077443117	1153.287962	0.0934956	0.685258351	35.41166707	0.716330693	2.149726205	0.870962906	15.14059174	9.323530123	30.83885275	20.59155739	7.841337944	0	0	0	0	0.028006467	1.120554977	0.014454548	0.39694541	0	0	0.025617968	0.021791805	0.05487892	0.045463067	0	0	0.014731659	1.177850564	0	0.02628498	0	0	0	0	0	0	0	0.123973535	0.040799124	0.064188255	0.147628398	0	10.56912477	0	0	0.171505567	0	0.049006027	0
vOTU_9	223.2073667	1957.860459	14.18515542	384.9573879	24.55751654	8.534674941	45.55971813	133.8944448	81.19792667	32.49997398	697.6575387	12.74321469	20.38017207	13.30547619	673.7766854	223.2782608	3.989385698	31.36301911	104.9051204	41.55725387	7.611368258	1.158595207	50.1882701	0.31871544	1.283351652	0.532819538	1.077374228	4.214343696	0.496246685	0.877663066	0.655038912	1.78094303	1.800050002	38.46252476	0.458664789	0.502322541	8.98553342	0.562606976	16.78267127	3.351870971	9.067299649	7.670262868	930.8824903	168.4762371	11.90397032	0	0	0.27479785	0	0.061589675	0.024159202	0	0	0	0	0.253516824	0	0.633598945	0	0	0	0.048595103	0.235476241	0.021312766	0	0.060066327	0.032590584	0.03820743	0	0.048103228	0	0.034692946	0.51118705	0.022430576	0.211736832	0.032465305	0	0.099328243	0	0	0.026940135	0	0	0
vOTU_10	31.9179687	127.1886357	15.72789817	50.02322345	0.590774715	6.870690951	5.688648294	75.66119071	155.8730061	8.904839935	39.87183582	7.494018638	10.42268898	199.8995927	45.06154923	32.6304113	129.9763058	0.355122434	29.88405438	12.23959449	0.152587495	0.024956372	1837.307067	0.075427979	0.069377513	0.019128399	0.134538426	0.365959898	0.270195566	0.072469312	0.016718179	0.052478398	0.821375261	0.997957445	0.016011978	0	146.5605016	0	0.478608405	0.484771231	59.08236795	288.2668241	68.75909414	37.19723595	7.621324037	0	0	0	0	1.37176014	0.097834079	0.337902173	0.04418735	0.064751205	0.198077009	0.884043339	0.048516603	0	0.050608784	0	0	0.524769778	0	0	0	0.121621025	0.065988722	0.335233576	0	0	0	0.965876194	0	0.363335639	0	0.065735061	0	0	0.175573864	0	0	0	0	0
vOTU_13	25.7893548	2047.868153	770.6249488	40.09023647	863.9217	7.538363094	1872.42864	1238.963488	3032.679184	36.11440262	1342.400684	7.159599184	9.375716595	1072.696375	714.1360128	20.16021715	1.155988902	764.5433472	23.45998588	2.340911677	0.346962491	0.209528414	900.3347912	0.043977592	0.258144056	0.140523236	0.252133062	3.161512479	0.629155606	0.367046225	0.163756006	0.015735625	0.055289373	1368.578719	0.050412441	0.703520979	26.5192008	0.478205062	1.255717111	1.526263701	14.9633124	2.16840499	49.57903458	27.01605728	5.969232633	0	0	0	0	0	0.051337137	0.016886637	0	0	0	0.029928389	0.025458445	0	0	0	0	0	0.218914342	0	0	0	0	0.027062981	0	0	0.114875162	0	0.03620826	0	0.074988424	0.034493603	0	4.713845721	0	0	0.057246486	0	0	0
vOTU_15	15.43162701	1485.260667	532.7475106	19.7891659	593.8853887	6.396913999	1322.241915	828.5676544	2050.99763	25.50473604	986.1735064	5.239253071	6.301928462	742.0065379	499.9047023	11.83888293	0.60433562	566.0999059	14.75800767	1.29149692	0.293010375	0.093107867	620.2748321	0.05057998	0.18685977	0.088156414	0.289985984	2.017636229	0.546646104	0.203987859	0.103954346	0.012339564	0.039415293	914.4780011	0.052709907	0.380473872	15.52755165	0.49999849	0.787766642	0	9.570638375	1.246223875	25.37407953	16.36101994	4.119650712	0	0	0	0	0	0	0.617967649	0	0	0.745200742	0	0.026618672	0	0	0	0.11229327	1.133666709	0.065397432	0	0.192642487	0.16681868	0	0.622519335	0.04159118	0.160313122	0	1.618691421	0	0.946885834	0	0.036065593	0	9.820562214	0.19265748	0	0	0	0.059860822	0
