""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"
"vOTU_1003"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC3"	"Nadiaviridae"
"vOTU_100880"	1.31070476262635	-4.80328509832367	2.45387202619323	-1.95743096911829	0.0502968203997135	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"Crassvirales"	"Hansviridae"
"vOTU_102433"	95.4035456545436	-3.64820534576654	1.01009724954405	-3.6117367386292	0.000304153249227243	0.00243322599381794	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC5"	"Hannahviridae"
"vOTU_10266"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC6"	"Mikkelineviridae"
"vOTU_102756"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC1"	"Alvaviridae"
"vOTU_103001"	8.89107382480365	0.0552922826760526	1.20714572589638	0.0458041489854049	0.963466351871412	0.972146228915298	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC2"	"Inaviridae"
"vOTU_103320"	24.3454898851743	0.814238634020011	0.709074523323854	1.14831178844671	0.250839874326655	0.465148229406878	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC3"	"Karlaviridae"
"vOTU_104482"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC2"	"Juliusviridae"
"vOTU_104799"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC2"	"Bastianviridae"
"vOTU_105684"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC1"	"Mathildeviridae"
"vOTU_107524"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC7"	"Oliverviridae"
"vOTU_108093"	0.352558189256411	-1.2770477953326	4.40300974004964	-0.290039738889654	0.7717858363688	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC1"	"Agneteviridae"
"vOTU_10905"	9.09320667996019	1.30944064363541	1.13488463030298	1.15380947866553	0.248578287258607	0.465148229406878	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC1"	"Irisviridae"
"vOTU_10953"	9414.05280421576	-2.93553653088475	0.221230136393702	-13.2691530129541	3.49508757501527e-40	3.9144980840171e-38	"Sangervirae"	"Phixviricota"	"Malgrandaviricetes"	"Petitvirales"	"Inesviridae"
"vOTU_111247"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC2"	"Silkeviridae"
"vOTU_1113"	186.133812906644	1.1439490103581	0.404709342659963	2.8265940263189	0.00470459300293508	0.0263457208164364	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC1"	"Asgerviridae"
