""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"
"vOTU_1003"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC3"	"Nadiaviridae"
"vOTU_100880"	672.675358097811	-0.135364872352011	0.873911084388694	-0.154895474803022	0.876903721176014	0.930049401247287	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"Crassvirales"	"Hansviridae"
"vOTU_102433"	1277.57695021223	-0.260523973821054	0.636504024312478	-0.409304519484319	0.682316199247899	0.860578990042396	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC5"	"Hannahviridae"
"vOTU_10266"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC6"	"Mikkelineviridae"
"vOTU_102756"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC1"	"Alvaviridae"
"vOTU_103001"	259.251549596492	-0.0725974874835522	0.963317644515641	-0.0753619409930505	0.939926739751522	0.953548866414587	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC2"	"Inaviridae"
"vOTU_103320"	90.273724347874	-1.77749831527069	1.98704272519221	-0.894544587660412	0.371030584622264	0.567943250209518	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC3"	"Karlaviridae"
"vOTU_104482"	8.12701372591494	3.01972249860304	3.36941695046153	0.896215144341045	0.370137868834321	0.567943250209518	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC2"	"Juliusviridae"
"vOTU_104799"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC2"	"Bastianviridae"
"vOTU_105684"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC1"	"Mathildeviridae"
"vOTU_107524"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC7"	"Oliverviridae"
"vOTU_108093"	18.9038443808144	-7.39435135311345	2.89373000015245	-2.55530106565709	0.0106095987630142	0.0316030601451486	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC1"	"Agneteviridae"
"vOTU_10905"	2591.70886019886	-2.3146871338775	1.11445414678658	-2.07696937604089	0.0378043857756017	0.0912519656652454	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC1"	"Irisviridae"
"vOTU_10953"	186.908417671832	-1.96753702843492	0.723066096353044	-2.72110259125502	0.00650645654905921	0.0211838120201928	"Sangervirae"	"Phixviricota"	"Malgrandaviricetes"	"Petitvirales"	"Inesviridae"
"vOTU_111247"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC2"	"Silkeviridae"
"vOTU_1113"	31.2998980010971	4.80500146706014	1.74716233686963	2.75017459205835	0.00595635190469557	0.0198545063489852	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC1"	"Asgerviridae"
"vOTU_111433"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC2"	"Mateoviridae"
"vOTU_113350"	0	NA	NA	NA	NA	NA	"Orthornavirae"	"Pisuviricota"	"Duplopiviricetes"	"Durnavirales"	"Partitiviridae"
"vOTU_114001"	54.5575871053271	-2.6485186387381	1.67745733700923	-1.57888882197159	0.114361560372196	0.217796896526592	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"Crassvirales"	"Annikaviridae"
"vOTU_115059"	0	NA	NA	NA	NA	NA	"Orthornavirae"	"Pisuviricota"	"Pisoniviricetes"	"Picornavirales"	"f.0035"
"vOTU_115920"	2628.54378531299	0.801168424886201	0.793041684639273	1.01024755747943	0.312376699538213	0.497480082791464	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC3"	"Bertramviridae"
"vOTU_11616"	3380.66579053893	0.486059184206274	0.651841822673552	0.745670448411373	0.455866514888779	0.657951670973495	"Sangervirae"	"Phixviricota"	"Malgrandaviricetes"	"Petitvirales"	"Almaviridae"
"vOTU_120334"	1.03002771861835	3.87694685026903	3.49003517360287	1.11086182729406	0.266627828659852	0.449733686896135	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC1"	"Sofieviridae"
"vOTU_120421"	2.86294100834128	5.35322443437633	3.46724803588136	1.54394043315553	0.12260276372332	0.228858492283531	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"Crassvirales"	"Frederikkeviridae"
"vOTU_12092"	35.6369073552057	-1.39255016099968	1.56385780418707	-0.890458299514999	0.373219850137683	0.567943250209518	"Loabvirae"	"Hofneiviricota"	"Faserviricetes"	"Tubulavirales"	"Ellaviridae"
"vOTU_121119"	10.86822523986	5.77075736792345	2.82631748735369	2.04179374530448	0.0411719949573604	0.0976962592208552	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC1"	"Mikkelviridae"
"vOTU_122490"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC8"	"Mikasviridae"
"vOTU_122529"	6.30368152764677	4.08565253993355	3.19529834027666	1.27864509189455	0.201022063424244	0.347445541720915	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC7"	"Henrikviridae"
"vOTU_1226"	3718.82264214788	5.71443302997274	1.07606513603586	5.31048989378491	0.000000109330947402832	0.0000012755277196997	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC1"	"Gustavviridae"
"vOTU_12295"	4156.35841514187	3.20864171198382	1.26537986816187	2.53571420939768	0.0112218273320289	0.0327303297184177	"Sangervirae"	"Phixviricota"	"Malgrandaviricetes"	"Petitvirales"	"Noraviridae"
"vOTU_1255"	560.579179734723	-2.86709188145944	0.970970724784063	-2.95280981009707	0.00314895908738086	0.0113039556982903	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"Crassvirales"	"Majviridae"
"vOTU_126747"	724.013260481444	-0.476835254427526	0.850942937931035	-0.560361022076162	0.575233212476854	0.805326497467596	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"Crassvirales"	"Frejaviridae"
"vOTU_128116"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC2"	"Pernilleviridae"
"vOTU_12870"	280.248238606294	0.613732987245232	3.21606044377729	0.190833784990806	0.848655818479885	0.925710615148608	"Loabvirae"	"Hofneiviricota"	"Faserviricetes"	"Tubulavirales"	"Livviridae"
"vOTU_12890"	39542.0418427194	-6.74576086425098	1.79806984774692	-3.75166786357259	0.000175662078447959	0.00102469545761309	"Loabvirae"	"Hofneiviricota"	"Faserviricetes"	"Tubulavirales"	"Sifviridae"
