""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"
"vOTU_1003"	2204.00700224557	1.52269833404911	0.220614394444373	6.90208060940039	5.12463396434063e-12	3.27188168492517e-11	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC3"	"Nadiaviridae"
"vOTU_100761"	2.66382218558853	-6.05004012830883	2.55490262306974	-2.36801202272032	0.0178839547350425	0.0371092060752132	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"Crassvirales"	"??-crassviridae"
"vOTU_101853"	0.884591275584994	1.8920810415866	3.05485064619974	0.619369409741966	0.535673028475339	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC4"	"Astaviridae"
"vOTU_102431"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC3"	"Merleviridae"
"vOTU_102554"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC1"	"Umaviridae"
"vOTU_1030"	1173572.86285147	-2.2535604789025	0.290216693085764	-7.76509598721301	8.15834152889921e-15	6.77142346898634e-14	"Unknown"	"Unknown"	"Unknown"	"Unknown"	"Unknown"
"vOTU_103320"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC3"	"Karlaviridae"
"vOTU_103930"	1.20855645644455	-4.3910756890093	3.07831959088405	-1.42645217930353	0.153737861135568	0.243325813630667	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC5"	"Evaviridae"
"vOTU_104482"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC2"	"Juliusviridae"
"vOTU_104799"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC2"	"Bastianviridae"
"vOTU_105602"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC1"	"Gabrielviridae"
"vOTU_10565"	7415.56780556401	2.87483411243635	0.45109031618602	6.37307875891273	0.000000000185270678425398	0.00000000102516442062053	"Sangervirae"	"Phixviricota"	"Malgrandaviricetes"	"Petitvirales"	"Alpaviridae"
"vOTU_106437"	14.9536471115498	-0.255798423055505	1.00139210140163	-0.255442820746708	0.798381101292912	0.871916202727786	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC2"	"Inaviridae"
"vOTU_10659"	184.929926940655	2.29327876545393	0.660087166794107	3.47420595463454	0.000512367595516968	0.00146643139406581	"Sangervirae"	"Phixviricota"	"Malgrandaviricetes"	"Petitvirales"	"Gokushoviridae"
"vOTU_106754"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC2"	"Haraldviridae"
"vOTU_107524"	3.33102461203128	-0.2496538437325	2.20425796759946	-0.113259812327858	0.909824577287737	0.942040307537314	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC7"	"Oliverviridae"
"vOTU_108093"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC1"	"Agneteviridae"
"vOTU_1081"	25467.2826454357	-6.92615155855393	0.205716393494405	-33.6684473264514	1.67480655530574e-248	1.39008944090377e-246	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC5"	"Hannahviridae"
"vOTU_10840"	849.555556223893	0.84668111554855	0.597182431766487	1.4177930737916	0.156251186912308	0.243325813630667	"Sangervirae"	"Phixviricota"	"Malgrandaviricetes"	"Petitvirales"	"Inesviridae"
"vOTU_109034"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC1"	"Signeviridae"
"vOTU_110910"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC7"	"Laustviridae"
"vOTU_111247"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC2"	"Silkeviridae"
"vOTU_111433"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC2"	"Mateoviridae"
"vOTU_11158"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC6"	"Gratiaviridae"
"vOTU_113350"	1190.82853180442	-14.8411333396132	0.922932377679264	-16.0804124966681	3.50040441358496e-58	7.26333915818879e-57	"Orthornavirae"	"Pisuviricota"	"Duplopiviricetes"	"Durnavirales"	"Partitiviridae"
"vOTU_113586"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC2"	"Pernilleviridae"
"vOTU_11366"	0.541706104053514	1.1854083156997	2.67304085571774	0.443468087352299	0.657427197039859	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"Crassvirales"	"Astridviridae"
"vOTU_114001"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"Crassvirales"	"Annikaviridae"
"vOTU_114344"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC1"	"Tildeviridae"
"vOTU_11438"	658.890666762953	1.58786027924662	0.855857528620474	1.85528575276545	0.0635554316357353	0.114676104907957	"Loabvirae"	"Hofneiviricota"	"Faserviricetes"	"Tubulavirales"	"Ellaviridae"
"vOTU_114702"	316.708506859094	0.466973753295345	0.352606035492421	1.32434985874024	0.185386878910931	0.279765653629224	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC8"	"Bellaviridae"
"vOTU_115059"	0	NA	NA	NA	NA	NA	"Orthornavirae"	"Pisuviricota"	"Pisoniviricetes"	"Picornavirales"	"f.0035"
"vOTU_11517"	0	NA	NA	NA	NA	NA	"Sangervirae"	"Phixviricota"	"Malgrandaviricetes"	"Petitvirales"	"Noraviridae"
"vOTU_115397"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC1"	"Livaviridae"
"vOTU_115808"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC1"	"Magnusviridae"
"vOTU_116249"	0.569780267970758	1.25925646239086	3.0642831871328	0.410946503795272	0.681111761881071	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC1"	"Zakariasviridae"
"vOTU_118845"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC1"	"Theoviridae"
"vOTU_11889"	257.3252102454	2.11448522763455	0.731563281615574	2.89036544174955	0.00384794222985523	0.00939350603170542	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC6"	"Sisseviridae"
"vOTU_11977"	2821.70360535231	4.47870335865837	0.425215639472938	10.5327813535029	6.10048225808429e-26	6.32925034276246e-25	"Sangervirae"	"Phixviricota"	"Malgrandaviricetes"	"Petitvirales"	"Almaviridae"
"vOTU_119904"	31.0771137445746	0.320916797675569	0.485158957102979	0.661467325249138	0.508312662361789	0.577944533918199	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC3"	"Linaviridae"
"vOTU_120299"	67.7108911213305	1.19539338886584	0.847325688357817	1.41078384060632	0.158308360675374	0.243325813630667	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"Crassvirales"	"Soniaviridae"
"vOTU_120334"	0.911805260308974	1.93496065374013	3.0543479522714	0.63351022345086	0.526400506793276	0.590422190051918	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC1"	"Sofieviridae"
"vOTU_120586"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC1"	"Danielviridae"
"vOTU_120994"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC1"	"Monaviridae"
"vOTU_121714"	1.25820080035082	2.39760240825661	2.72550835045802	0.879689988054407	0.379027274594783	0.483988673713339	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC1"	"Valdemarviridae"
"vOTU_122490"	88.7493849786277	1.57233043142443	0.808460302338079	1.94484556245647	0.0517935685383369	0.0977015042882264	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC8"	"Mikasviridae"
"vOTU_122529"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC7"	"Henrikviridae"
"vOTU_122663"	1.51199384774632	-1.63721604154494	1.51648361223086	-1.07961340850659	0.280314368013771	0.401139526640397	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"Crassvirales"	"Nikolajviridae"
"vOTU_12355"	0.619614241276152	-3.9750258454222	3.12851289759084	-1.27057997698626	0.203878113971791	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC1"	"Tokeviridae"
"vOTU_124160"	134.074090006914	-0.306289542373515	0.424806659593479	-0.721009276706304	0.470903807181266	0.550493183042889	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC1"	"Alberteviridae"
"vOTU_1247"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"Crassvirales"	"Benedicteviridae"
"vOTU_125088"	1.07406643972991	2.16634790747093	2.83028457116793	0.765416993591203	0.444023276955445	0.543801520469447	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"Crassvirales"	"Vincentviridae"
"vOTU_125131"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC2"	"Arthurviridae"
"vOTU_1255"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"Crassvirales"	"Majviridae"
"vOTU_125833"	0.420291265860782	0.800993563756339	3.07417668612759	0.260555474046391	0.794435330354419	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC1"	"Asgerviridae"
"vOTU_12870"	8.63474222215467	-4.57950983930056	1.15357734732206	-3.96983336222019	0.0000719229148128345	0.000248733413727719	"Loabvirae"	"Hofneiviricota"	"Faserviricetes"	"Tubulavirales"	"Livviridae"
"vOTU_129286"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC7"	"??-crassviridae"
"vOTU_13039"	1.2238465979233	2.35767193022178	1.8728675901465	1.25885670862475	0.208082092950888	0.308407387766495	"Loabvirae"	"Hofneiviricota"	"Faserviricetes"	"Tubulavirales"	"Ottoviridae"
"vOTU_130792"	19.6604110437198	1.64052059540662	0.785874516594674	2.08750959697138	0.0368420944561095	0.0728069961870736	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC2"	"Liamviridae"
"vOTU_1309"	11.704158175225	1.63242793799668	0.648736964771414	2.51631713104535	0.0118588422970123	0.0252380489910774	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC9"	"Lauraviridae"
"vOTU_131340"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"Crassvirales"	"Milleviridae"
