""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"
"vOTU_1003"	0.255210494065408	-0.398511625718729	4.49426059984546	-0.0886712323118138	0.92934319574307	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC3"	"Nadiaviridae"
"vOTU_100761"	0.61662159180108	-4.14990988283617	4.56207316163209	-0.909654390845309	0.363004804447368	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"Crassvirales"	"??-crassviridae"
"vOTU_101853"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC4"	"Astaviridae"
"vOTU_102431"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC3"	"Merleviridae"
"vOTU_102554"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC1"	"Umaviridae"
"vOTU_1030"	1429826.29009624	-3.18455339329106	0.951249758780046	-3.34775737275893	0.000814683016055155	0.00162936603211031	"Unknown"	"Unknown"	"Unknown"	"Unknown"	"Unknown"
"vOTU_103320"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC3"	"Karlaviridae"
"vOTU_103930"	1.19098230563857	1.81133586989227	4.4263697076949	0.409214771812531	0.682382054817468	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC5"	"Evaviridae"
"vOTU_104482"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC2"	"Juliusviridae"
"vOTU_104799"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC2"	"Bastianviridae"
"vOTU_105602"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC1"	"Gabrielviridae"
"vOTU_10565"	0.379591068513973	0.156015951800575	4.4667943527799	0.0349279459672189	0.972137196544848	NA	"Sangervirae"	"Phixviricota"	"Malgrandaviricetes"	"Petitvirales"	"Alpaviridae"
"vOTU_106437"	62.583500447335	7.52319586316343	1.96184804878029	3.83474951989309	0.000125692317619918	0.000328733753775169	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC2"	"Inaviridae"
"vOTU_10659"	3.69972955080648	-6.73483010885946	4.00145901987002	-1.68309361045967	0.0923569712206579	NA	"Sangervirae"	"Phixviricota"	"Malgrandaviricetes"	"Petitvirales"	"Gokushoviridae"
"vOTU_106754"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC2"	"Haraldviridae"
"vOTU_107524"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC7"	"Oliverviridae"
"vOTU_108093"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC1"	"Agneteviridae"
"vOTU_1081"	39.828674089498	5.40431166530689	2.17722897652055	2.482197198176	0.0130574991825488	0.020179771463939	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC5"	"Hannahviridae"
"vOTU_10840"	1.23324318360216	-5.14988363317898	4.44657365390945	-1.15816897098987	0.246795088189734	NA	"Sangervirae"	"Phixviricota"	"Malgrandaviricetes"	"Petitvirales"	"Inesviridae"
"vOTU_109034"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC1"	"Signeviridae"
"vOTU_110910"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC7"	"Laustviridae"
"vOTU_111247"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC2"	"Silkeviridae"
"vOTU_111433"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC2"	"Mateoviridae"
"vOTU_11158"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC6"	"Gratiaviridae"
"vOTU_113350"	1.35217098259051	1.99572962407775	4.42409817085086	0.451104280919229	0.651914392451671	NA	"Orthornavirae"	"Pisuviricota"	"Duplopiviricetes"	"Durnavirales"	"Partitiviridae"
"vOTU_113586"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC2"	"Pernilleviridae"
"vOTU_11366"	9.47168420714252	1.45995755218929	2.57149013495284	0.567747677638304	0.570206312374381	0.623830349856736	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"Crassvirales"	"Astridviridae"
"vOTU_114001"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"Crassvirales"	"Annikaviridae"
"vOTU_114344"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC1"	"Tildeviridae"
