""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"
"vOTU_1003"	3554.99574118604	13.3340606933958	1.44823608283636	9.2071043191253	3.350410294977e-20	4.9139350992996e-19	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC3"	"Nadiaviridae"
"vOTU_100761"	0.31192045970484	-3.20163786584336	4.08045162499813	-0.784628310804893	0.432671526080822	0.524388665293988	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"Crassvirales"	"??-crassviridae"
"vOTU_101853"	1.78104541596135	2.37709154314231	4.00808913945349	0.593073522178808	0.553131949508032	0.624046302009062	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC4"	"Astaviridae"
"vOTU_102431"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC3"	"Merleviridae"
"vOTU_102554"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC1"	"Umaviridae"
"vOTU_1030"	1112207.96355225	-1.9224473749308	0.220086256615083	-8.73497238990731	2.43715652687447e-18	3.00858114549255e-17	"Unknown"	"Unknown"	"Unknown"	"Unknown"	"Unknown"
"vOTU_103320"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC3"	"Karlaviridae"
"vOTU_103930"	0.101274897521727	-1.27809452297825	4.08045162499813	-0.313223790020753	0.754110645338757	0.784403916204291	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC5"	"Evaviridae"
"vOTU_104482"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC2"	"Juliusviridae"
"vOTU_104799"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC2"	"Bastianviridae"
"vOTU_105602"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC1"	"Gabrielviridae"
"vOTU_10565"	13811.7045592852	15.2920269238751	1.48874158434306	10.2717805996016	9.44451498130204e-25	2.77039106118193e-23	"Sangervirae"	"Phixviricota"	"Malgrandaviricetes"	"Petitvirales"	"Alpaviridae"
"vOTU_106437"	15.7516688484599	5.51797373242733	1.79531471841758	3.07354118797119	0.00211534485048202	0.00372300693684835	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC2"	"Inaviridae"
"vOTU_10659"	328.68493706664	5.86244840717282	0.72648721128806	8.06958239055401	7.05390201409379e-16	5.64312161127503e-15	"Sangervirae"	"Phixviricota"	"Malgrandaviricetes"	"Petitvirales"	"Gokushoviridae"
"vOTU_106754"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC2"	"Haraldviridae"
"vOTU_107524"	3.5315388746905	3.3587669851289	3.21002210415588	1.04633765006803	0.295405168348363	0.412629441502476	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC7"	"Oliverviridae"
"vOTU_108093"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC1"	"Agneteviridae"
"vOTU_1081"	518.833932797872	9.1131536449453	1.4496130106347	6.28661137702895	0.000000000324470257834121	0.00000000118972427872511	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC5"	"Hannahviridae"
"vOTU_10840"	1207.29493291661	9.33231074089968	1.06998270738308	8.72192669704383	2.73507376862959e-18	3.00858114549255e-17	"Sangervirae"	"Phixviricota"	"Malgrandaviricetes"	"Petitvirales"	"Inesviridae"
